model,title,description,dealer_id,vehicle_id
BtGdQN,focus group,"Pasngr in pk-up/van inj in clsn w 2/3-whl mv nontraf, subs",4,1
xz9dPD,software,Varicos vn of r low extrem w ulc of unsp site and inflam,6,18
3LjBVQ,extranet,"Assault by other hot objects, sequela",6,25
xPZHdc,Face to face,"Unsp injury of unsp blood vessel at forearm level, left arm",1,27
9KfeNa,Phased,"Other synovitis and tenosynovitis, unspecified thigh",7,8
e3ErTN,Horizontal,"Underdosing of unspecified antidepressants, subs encntr",2,1
jxtruF,Multi-channelled,Encounter for genetic testing of male for pro mgmt,10,4
LXIWQX,directional,"Crushing injury of left middle finger, initial encounter",10,21
1CLAG2,middleware,"Oth psychoactv sub use, unsp w persist amnestic disorder",9,12
jEMJwJ,solution,"Poisoning by unsp agents aff the GI sys, accidental",8,1
cCAMGc,projection,"Nondisplaced Rolando's fracture, right hand",1,28
oU2kPC,radical,Occlusion and stenosis of bi posterior cerebral arteries,4,14
8toFsn,standardization,Other incomplete lesion at C7 level of cervical spinal cord,8,19
58mvmB,definition,Pedal cyclist (driver) (passenger) injured in unsp traf,3,27
DfwjmK,firmware,"Separation of muscle (nontraumatic), thigh",2,3
m3D63I,didactic,Nonadministration of surgical and medical care,2,12
5aUUl0,capacity,"Laceration of ovary, bilateral, initial encounter",2,5
H0TGXU,workforce,"Torus fx upper end of left ulna, subs for fx w delay heal",4,9
1ckdvf,Function-based,"Poisn by slctv seroton/norepineph reup inhibtr, undet, subs",9,29
On53eM,systematic,"Oth injury due to oth accident to oth powered wtrcrft, subs",5,29
EP9HuH,groupware,Pnctr w/o foreign body of pharynx and cervical esophagus,4,10
LfCphO,Reactive,"Unsp injury of unsp musc/fasc/tend at forarm lv, left arm",3,15
vZhBjf,4th generation,Unspecified trochanteric fracture of right femur,1,9
TkQkH2,Decentralized,Cannabis (derivatives),3,12
REiRdM,Reduced,"Disp fx of nk of 2nd MC bone, r hand, 7thD",7,3
VnQt9f,artificial intelligence,"Abrasion, right knee, subsequent encounter",8,29
9Ao9FH,static,"Disp fx of post pro of left talus, subs for fx w nonunion",2,25
f555Tj,directional,"Displacement of bile duct prosthesis, subsequent encounter",8,17
wDHvSI,challenge,Cephalospor/oth beta-lactm antibiotics,2,18
mBxMp7,Triple-buffered,"Poisoning by antithrombotic drugs, self-harm, sequela",5,30
rAfuvl,Vision-oriented,"Oth fx upper end of unsp ulna, subs for clos fx w malunion",8,14
8DPaUB,emulation,"Displacement of biological heart valve graft, subs encntr",10,1
T6HPx0,reciprocal,Contusion of lip,2,10
bmNymH,conglomeration,Oth places as the place of occurrence of the external cause,1,22
mZTfpi,Face to face,"Other dislocation of left shoulder joint, sequela",1,13
0s10TX,Adaptive,"Corros unsp deg mult sites of lower limb, except ank/ft",2,22
yV5maK,Pre-emptive,"Toxic effect of hydrogen sulfide, self-harm, subs",3,5
QDi6YF,software,Unspecified reduction defect of left upper limb,2,17
pEglpM,bandwidth-monitored,"Subluxation of tarsometatarsal joint of right foot, subs",5,26
kDAzz4,human-resource,"Primary blast injury of fallopian tube, unilateral",5,7
YZcsVd,Open-architected,"Nondisp fx of shaft of 4th MC bone, r hand, init for opn fx",8,25
K9KTjg,internet solution,"Maternal care for face, brow and chin presentation, fetus 2",3,25
7RHrey,global,"Unsp traum nondisp spondylolysis of 2nd cervcal vert, 7thB",2,8
QUYKf8,Customer-focused,Other superficial bite of left eyelid and periocular area,8,8
eF3ijT,neural-net,"Displaced avulsion fracture of right ischium, init",8,26
jjB2Xr,asymmetric,Trichostrongyliasis,8,12
bx1pEv,hardware,"Complication of vein following a procedure, NEC, init",5,16
tDsrq6,circuit,"Hit by falling object due to acc to unpowr wtrcrft, subs",6,13
kZAus5,tertiary,Accessory kidney,10,29
2Mn0bz,frame,"Nondisp fx of l radial styloid pro, 7thF",9,12
cXHehQ,Quality-focused,"Corrosion of first degree of left wrist, sequela",3,23
PSVmui,next generation,"Ped on foot injured in collision w 2/3-whl mv nontraf, subs",1,23
MEPF32,artificial intelligence,"Third degree perineal laceration during delivery, IIIc",3,7
bBMBrs,Self-enabling,"Calcific tendinitis, ankle and foot",7,8
ZkJ7aE,motivating,"Unsp fx right femur, subs for opn fx type I/2 w malunion",2,19
nz7NZX,Synchronised,"Underdosing of antitussives, subsequent encounter",10,22
xh9cLk,frame,Unsp comp of fb acc left in body following heart cath,7,5
YgG2M4,Sharable,"Other osteomyelitis, other site",7,11
jXQsoG,middleware,Person outside car injured in clsn w statnry object in traf,3,26
FpxyGh,fault-tolerant,"Complete traum amp at lev betw kn and ankl, l low leg, subs",9,6
JpQvny,Enhanced,"Contact with lifting devices, not elsewhere classified",10,10
yJQBfV,Face to face,"Child psychological abuse, confirmed, initial encounter",9,27
JyJghr,Profit-focused,Oth paved roadways as place,9,10
7m1d6H,Multi-channelled,Nondisp fx of lower epiphysis (separation) of unsp femur,3,1
GG8YA8,fault-tolerant,Thrombosis of cardiac and vascular prosth dev/grft,8,5
YsDxnL,Devolved,"Passenger injured in collision w oth mv nontraf, sequela",8,29
0Zq6VW,maximized,"Muscle wasting and atrophy, NEC, unsp site",4,16
TvypEz,attitude,"Strain extn musc/fasc/tend l mid finger at forarm lv, sqla",6,21
3AfV2k,intermediate,"Stress fracture, unspecified femur, sequela",4,3
u4u8rr,user-facing,"Lacerat intrns musc/fasc/tend r idx fngr at wrs/hnd lv, subs",5,19
mkynAZ,encoding,"Pnctr w/o fb of r mid finger w/o damage to nail, sequela",1,8
u6N5ui,disintermediate,"Unspecified physeal fx unspecified metatarsal, sequela",3,23
RbMp3T,Synergized,"Oth fracture of base of skull, subs for fx w nonunion",7,12
Pdqal7,mobile,Other dislocation of right shoulder joint,5,11
cUvK97,workforce,"Stable burst fracture of fifth lum vertebra, init for opn fx",3,1
ngOdJd,website,Oth infections w sexl mode of transmiss comp childbirth,7,19
BpoxZh,open system,Fracture of unspecified phalanx of unspecified finger,9,13
4sboEk,circuit,"Sprain of interphalangeal joint of left middle finger, subs",10,26
BqOoju,alliance,"Displ commnt fx shaft of humer, unsp arm, 7thD",9,4
q8rDgg,6th generation,"Displ trimalleol fx r low leg, 7thJ",3,2
HgBro6,artificial intelligence,Laceration without foreign body of unspecified upper arm,3,29
plDS00,paradigm,"Crohn's disease, unspecified, with unspecified complications",10,25
HijR7h,Integrated,Child in welfare custody,1,2
aGSJxu,attitude,"Broken internal left knee prosthesis, sequela",4,20
gK0k3W,client-driven,"Fall on board canoe or kayak, subsequent encounter",6,29
2cgJhu,fault-tolerant,Other contact with other rodent,3,3
Rso5MH,Horizontal,"Occup of 3-whl mv inj in clsn w rail trn/veh in traf, subs",6,30
5Hkb9j,Reverse-engineered,"Torus fracture of lower end of right tibia, init for clos fx",10,17
hzQ68A,Streamlined,Facial weakness,10,25
lGjXgL,success,"Exposure to smoke in uncontrolled fire in bldg, subs",2,3
kPoL8y,policy,Loose body in right shoulder,10,4
JtwQg8,static,Adverse effect of unsp hormones and synthetic substitutes,7,22
p1P9fm,Cloned,"Other secondary scoliosis, lumbar region",3,8
Rh1TsT,standardization,"Partial traumatic amp at elbow level, left arm, sequela",4,2
qii3Wl,uniform,"War op w chem weapons and oth unconvtl warfare, civ, init",9,9
hz36Xk,global,"Dislocation of tarsal joint of left foot, initial encounter",6,13
CrqIHi,explicit,"Nondisp unsp condyle fx low end r femr, 7thQ",8,13
vG34IC,holistic,(Idiopathic) normal pressure hydrocephalus,7,8
wl42lN,Graphical User Interface,Effects of abnormal gravitation [G] forces,2,22
zb0mM4,Seamless,Breakdown of prosth dev/implnt/grft of genitl trct,9,27
93mo09,real-time,Rheumatoid heart disease with rheumatoid arthritis of elbow,3,1
DSghAQ,Cross-group,"Inj oth blood vessels at lower leg level, left leg, init",3,19
RhzqzH,maximized,"Unsp traum displ spondylolysis of 7th cervcal vert, 7thD",4,7
iWRVJk,neural-net,"Nondisp transverse fx shaft of r femr, 7thG",4,14
NftbTM,holistic,"Poisn by oth systemic anti-infect/parasit, self-harm, subs",10,18
hzsE0R,zero administration,Mechanical lagophthalmos left upper eyelid,8,3
YtZ8Ln,interactive,"Legal intervnt w bayonet, law enforc offl injured, subs",5,23
YkiubW,Cross-platform,Multi-system degeneration of the autonomic nervous system,6,17
PtsId5,Multi-channelled,"Insect bite (nonvenomous) of breast, left breast, subs",7,28
2oFCBA,Enhanced,Child and adolescent antisocial behavior,5,11
mF9aTC,Organized,"Oth fracture of right acetabulum, init for clos fx",8,28
p0K8Kv,composite,"Poisoning by ganglionic blocking drugs, self-harm",10,23
KkE3g1,standardization,"Pathological fracture in other disease, pelvis and femur",6,28
E9dBOI,alliance,"Unspecified superficial injury of right elbow, subs encntr",6,2
BeAk5l,Configurable,"Disp fx of left tibial spine, init for clos fx",6,9
vVXt4k,human-resource,"Bent bone of left rad, subs for opn fx type I/2 w nonunion",6,8
SrYhXr,concept,Exotropia,5,30
5ySxKM,impactful,"Parasitic cyst of retina, bilateral",6,30
4L1wQy,holistic,"Nondisplaced pilon fracture of left tibia, sequela",6,7
VWypFn,Face to face,"Insect bite (nonvenomous) of right thumb, subs encntr",6,6
Thck0e,Streamlined,"Nondisp fx of neck of second metacarpal bone, right hand",8,14
HjE88H,Optimized,"Lac w/o fb of right lesser toe(s) w damage to nail, sequela",4,28
lPzQ5p,Secured,Chronic bullous disease of childhood,3,14
P3zDj5,Team-oriented,Other urinary tract infection following delivery,10,17
VhSMPB,value-added,"Complete traumatic transmetcrpl amp of left hand, subs",10,26
750fXR,installation,"Disp fx of distal phalanx of right ring finger, sequela",7,16
K6glrJ,Horizontal,Jumping or diving into unspecified water,4,29
Pxig6e,leverage,"Unsp fracture of unsp thor vertebra, subs for fx w nonunion",6,3
m4aNLB,holistic,"Burn of second degree of unspecified upper arm, subs encntr",6,23
IkoCv3,3rd generation,"Laceration of plantar artery of right foot, init encntr",3,26
NhCxm3,matrices,"Contusion of left ear, initial encounter",1,7
Feu3rZ,capability,"Other specified osteochondropathies, right lower leg",1,1
rkcf1M,Pre-emptive,"Adult osteochondrosis of spine, lumbar region",9,29
YbO8iq,Cross-platform,"Maternal care for anti-D antibodies, first trimester, oth",4,25
LZNigc,exuding,"Nondisp fx of medial phalanx of oth finger, init for clos fx",1,3
0qzwFY,human-resource,"War operations involving fragments from weapons, milt, init",3,24
JDvxpa,Devolved,Sequelae of inflammatory and toxic polyneuropathies,2,9
pTsUAZ,bandwidth-monitored,"Displ apophyseal fx l femr, 7thH",8,19
1I5no8,client-server,Progressive external ophthalmoplegia,3,26
tzrfI6,installation,"Undrdose of unsp drugs aff the autonomic nervous sys, subs",6,3
oqIM5V,open architecture,"Maternal care for Anti-A sensitization, first tri, unsp",7,30
QumBN0,Face to face,"Acute hematogenous osteomyelitis, right ankle and foot",3,30
Hfn71c,implementation,Acquired absence of right thumb,8,24
Nht9tG,coherent,Laceration of diaphragm,7,7
mUlPYb,local,"Open bite of right middle finger w damage to nail, init",3,17
LtnP3m,dynamic,"Person outside car injured in clsn w hv veh nontraf, subs",9,29
NhcvAf,support,"Effects of weightlessness, subsequent encounter",9,16
HACwop,homogeneous,"Inj oth blood vessels at hip and thigh level, unsp leg",5,27
tApJ1r,groupware,"Superficial foreign body of left little finger, subs encntr",2,28
ANWq2s,collaboration,"Pedl cyc driver inj in clsn w oth pedl cyc nontraf, sequela",6,24
fEsEro,Synergized,"Sensorineural hearing loss, bilateral",4,30
SULNLy,service-desk,"Dislocation of jaw, unspecified side, sequela",6,13
ckTCnu,functionalities,"Fracture of unsp part of left clavicle, init for clos fx",9,26
H5TJDM,Persevering,"Unsp inj abdomen, low back, pelvis and external genitals",10,30
qftZqU,secured line,"Pressure ulcer of right hip, stage 1",7,20
g2t6f7,Graphical User Interface,Maternal care for damage to fetus by oth medical procedures,3,11
QvAZ6p,tertiary,Direct infct of knee in infec/parastc diseases classd elswhr,1,26
tFVkRJ,leading edge,Injury of unsp muscle and tendon at ankle and foot level,8,14
5vQ5aq,groupware,"Nondisp oblique fx shaft of r fibula, 7thD",4,24
W1VcKg,analyzing,Diagnostic and monitoring ophthalmic devices assoc w incdt,7,15
yh3XV8,synergy,Dissection of vertebral artery,2,7
zcbBtZ,zero defect,Maternal care due to uterine scar from oth previous surgery,5,18
bN4ORM,Down-sized,Other and unspecified cord compression,9,7
uxtE4S,client-driven,Cytomegaloviral mononucleosis with meningitis,7,4
B7nZZP,Networked,"Superficial foreign body of right ear, initial encounter",2,1
Gt2buS,Stand-alone,"Milt op w direct blast effect of nuclear weapon, milt, init",7,11
T1O14v,secured line,"Displaced associated transv/post fx right acetabulum, init",9,17
7uQaIe,definition,"Nondisp fx of proximal phalanx of unsp thumb, init",9,28
Vb0Nob,exuding,"Chronic periodontitis, generalized, unspecified severity",3,10
NAG2oj,Compatible,"Cardiac murmur, unspecified",6,26
kmbJgk,synergy,Corrosion of second degree of left upper arm,1,24
s8wQ4p,Distributed,"Disp fx of 2nd metatarsal bone, unsp ft, 7thD",8,12
GdA93J,interactive,"Unsp trochan fx right femur, subs for clos fx w delay heal",6,30
f11kJR,parallelism,"Disp fx of body of unsp calcaneus, subs for fx w delay heal",3,25
n8rARu,Public-key,"Disp fx of medial condyle of unsp humerus, init for clos fx",2,14
pr3ySi,framework,Unspecified sprain of left shoulder joint,9,5
